variant,variable,country_group,period,source,n,mean,sd,min,p05,median,p95,max
baseline_pmm,oop_health_expenditure_share_pc,All,pre-2015,Observed,153,21.02111111111111,8.68359081343684,8.83,10.596,19.61,40.69200000000001,47.74
baseline_pmm,oop_health_expenditure_share_pc,All,pre-2015,Imputed where missing,78,25.16653846153846,11.186902340059735,8.83,9.471,23.240000000000002,44.61,47.74
baseline_pmm,oop_health_expenditure_share_pc,Eastern/Southern,2015-onward,Observed,165,25.050909090909087,8.845133898404791,9.19,11.404,23.87,41.52199999999998,44.76
baseline_pmm,oop_health_expenditure_share_pc,Eastern/Southern,2015-onward,Imputed where missing,71,28.965211267605632,10.056969134337345,8.39,11.114999999999998,31.16,43.364999999999995,45.11
baseline_pmm,oop_health_expenditure_share_pc,Eastern/Southern,pre-2015,Observed,73,27.00068493150685,8.571470820364095,8.83,14.066,26.27,42.803999999999995,47.74
baseline_pmm,oop_health_expenditure_share_pc,Eastern/Southern,pre-2015,Imputed where missing,60,28.142499999999995,10.910289751313991,8.83,11.012500000000001,27.134999999999998,44.635,47.74
baseline_pmm,oop_health_expenditure_share_pc,Western/Northern,2015-onward,Observed,126,14.451507936507937,3.819779274766607,8.39,9.235,13.805,21.5475,22.05
baseline_pmm,oop_health_expenditure_share_pc,Western/Northern,2015-onward,Imputed where missing,15,14.849999999999998,4.138025754252521,11.44,11.461,13.38,22.627999999999997,25.47
baseline_pmm,oop_health_expenditure_share_pc,Western/Northern,pre-2015,Observed,80,15.564749999999998,3.864454364026773,9.07,10.0245,14.934999999999999,22.618,24.07
baseline_pmm,oop_health_expenditure_share_pc,Western/Northern,pre-2015,Imputed where missing,18,15.246666666666666,4.2745567365655175,9.28,9.399,14.335,22.891,23.35
baseline_pmm,long_term_unemployment_rate_pc,All,All,Observed,554,3.8494584837545123,3.9794237584666314,0.3,0.7650000000000002,2.4,12.4,26.6
baseline_pmm,long_term_unemployment_rate_pc,All,All,Imputed where missing,54,3.3314814814814815,2.892529354334772,0.5,0.7,2.3,9.979999999999995,13.4
baseline_pmm,long_term_unemployment_rate_pc,Eastern/Southern,All,Observed,340,5.106470588235294,4.556212577594437,0.6,0.8949999999999999,3.6,13.525000000000006,26.6
baseline_pmm,long_term_unemployment_rate_pc,Eastern/Southern,All,Imputed where missing,29,4.548275862068966,3.4710661896038277,0.6,0.9200000000000002,3.4,11.699999999999996,13.4
baseline_pmm,long_term_unemployment_rate_pc,Western/Northern,All,Observed,214,1.852336448598131,1.2430347382311164,0.3,0.5650000000000001,1.6,3.6349999999999993,9.2
baseline_pmm,long_term_unemployment_rate_pc,Western/Northern,All,Imputed where missing,25,1.92,0.7455423082115015,0.5,0.7,1.9,3.1799999999999997,3.2
baseline_pmm,long_term_unemployment_rate_pc,All,2015-onward,Observed,359,3.200557103064067,3.2949681836441664,0.3,0.7,2.1,11.4,21.3
baseline_pmm,long_term_unemployment_rate_pc,All,2015-onward,Imputed where missing,18,5.3055555555555545,4.0325837903438275,0.7,0.7,4.65,12.634999999999998,13.4
baseline_pmm,long_term_unemployment_rate_pc,All,pre-2015,Observed,195,5.044102564102563,4.7845330261255565,0.4,1.0,3.5,13.369999999999985,26.6
baseline_pmm,long_term_unemployment_rate_pc,All,pre-2015,Imputed where missing,36,2.344444444444444,1.3284673111617753,0.5,0.75,2.1,3.9749999999999996,8.0
baseline_pmm,long_term_unemployment_rate_pc,Eastern/Southern,2015-onward,Observed,224,4.151339285714285,3.8246777162589685,0.6,0.8,2.6,12.5,21.3
baseline_pmm,long_term_unemployment_rate_pc,Eastern/Southern,2015-onward,Imputed where missing,12,7.116666666666666,3.7406448965952706,1.1,2.365,6.1,12.905,13.4
baseline_pmm,long_term_unemployment_rate_pc,Eastern/Southern,pre-2015,Observed,116,6.950862068965517,5.255464993114603,0.6,1.975,5.15,16.9,26.6
baseline_pmm,long_term_unemployment_rate_pc,Eastern/Southern,pre-2015,Imputed where missing,17,2.735294117647059,1.7392315747445006,0.6,0.76,2.4,5.1999999999999975,8.0
baseline_pmm,long_term_unemployment_rate_pc,Western/Northern,2015-onward,Observed,135,1.622962962962963,0.8019510481897557,0.3,0.5,1.6,3.03,5.3
baseline_pmm,long_term_unemployment_rate_pc,Western/Northern,2015-onward,Imputed where missing,6,1.683333333333333,0.943221430347438,0.7,0.7,1.65,2.9,3.1
