country,year,citizen_group,unmet_need_pc
DK,2022,NAT,7.0
DK,2022,NEU_FOR,17.3
DK,2023,EU_FOR,10.5
DK,2023,NAT,7.9
DK,2023,NEU_FOR,17.3
DK,2024,EU_FOR,11.7
DK,2024,NAT,7.1
DK,2024,NEU_FOR,14.9
DK,2025,EU_FOR,16.8
DK,2025,NAT,7.7
DK,2025,NEU_FOR,12.3
EE,2008,NAT,6.7
EE,2009,EU_FOR,1.0
EE,2009,NAT,3.9
EE,2009,NEU_FOR,8.7
EE,2010,EU_FOR,5.2
EE,2010,NAT,5.0
EE,2010,NEU_FOR,9.6
EE,2011,EU_FOR,6.9
EE,2011,NAT,6.3
EE,2011,NEU_FOR,15.7
EE,2012,EU_FOR,8.0
EE,2012,NAT,6.8
EE,2012,NEU_FOR,14.9
EE,2013,EU_FOR,10.1
EE,2013,NAT,7.0
EE,2013,NEU_FOR,15.8
EE,2014,EU_FOR,0.0
EE,2014,NAT,7.0
EE,2014,NEU_FOR,17.7
EE,2015,EU_FOR,6.8
EE,2015,NAT,9.0
EE,2015,NEU_FOR,22.9
EE,2016,EU_FOR,8.2
EE,2016,NAT,8.3
EE,2016,NEU_FOR,19.8
EE,2017,EU_FOR,2.5
EE,2017,NAT,5.2
EE,2017,NEU_FOR,15.9
EE,2018,EU_FOR,1.9
EE,2018,NAT,5.8
EE,2018,NEU_FOR,10.8
EE,2019,EU_FOR,1.2
EE,2019,NAT,4.5
EE,2019,NEU_FOR,7.2
EE,2020,EU_FOR,0.6
EE,2020,NAT,2.5
EE,2020,NEU_FOR,5.3
EE,2021,EU_FOR,1.5
EE,2021,NAT,2.4
EE,2021,NEU_FOR,2.2
EE,2022,EU_FOR,0.0
EE,2022,NAT,2.2
EE,2022,NEU_FOR,4.4
EE,2023,EU_FOR,0.0
EE,2023,NAT,3.1
EE,2023,NEU_FOR,4.6
EE,2024,EU_FOR,0.0
EE,2024,NAT,4.6
EE,2024,NEU_FOR,5.8
EE,2025,EU_FOR,4.0
EE,2025,NAT,5.0
EE,2025,NEU_FOR,6.2
EL,2008,NAT,5.7
EL,2009,EU_FOR,10.4
EL,2009,NAT,5.8
EL,2009,NEU_FOR,10.2
EL,2010,EU_FOR,10.8
EL,2010,NAT,5.6
EL,2010,NEU_FOR,10.8
EL,2011,EU_FOR,12.9
EL,2011,NAT,6.7
EL,2011,NEU_FOR,11.9
EL,2012,EU_FOR,19.2
EL,2012,NAT,7.0
EL,2012,NEU_FOR,11.0
EL,2013,EU_FOR,8.1
EL,2013,NAT,8.5
EL,2013,NEU_FOR,12.0
EL,2014,EU_FOR,13.5
EL,2014,NAT,12.6
EL,2014,NEU_FOR,17.5
EL,2015,EU_FOR,15.3
EL,2015,NAT,12.2
EL,2015,NEU_FOR,17.4
EL,2016,EU_FOR,20.4
EL,2016,NAT,13.5
EL,2016,NEU_FOR,19.3
EL,2017,EU_FOR,14.3
EL,2017,NAT,9.7
EL,2017,NEU_FOR,15.0
EL,2018,EU_FOR,11.4
EL,2018,NAT,9.6
EL,2018,NEU_FOR,11.0
EL,2019,EU_FOR,11.6
EL,2019,NAT,8.6
EL,2019,NEU_FOR,12.2
EL,2020,EU_FOR,10.1
EL,2020,NAT,7.1
EL,2020,NEU_FOR,10.0
EL,2021,EU_FOR,9.6
EL,2021,NAT,7.7
EL,2021,NEU_FOR,9.1
EL,2022,EU_FOR,24.6
EL,2022,NAT,11.8
EL,2022,NEU_FOR,17.7
EL,2023,EU_FOR,13.9
EL,2023,NAT,12.8
EL,2023,NEU_FOR,14.5
EL,2024,EU_FOR,17.8
EL,2024,NAT,12.9
EL,2024,NEU_FOR,12.6
EL,2025,EU_FOR,15.1
EL,2025,NAT,11.3
EL,2025,NEU_FOR,13.8
ES,2008,NAT,3.5
ES,2009,EU_FOR,9.5
ES,2009,NAT,4.0
ES,2009,NEU_FOR,10.2
ES,2010,EU_FOR,7.8
ES,2010,NAT,4.4
ES,2010,NEU_FOR,10.6
ES,2011,EU_FOR,5.7
ES,2011,NAT,3.7
ES,2011,NEU_FOR,4.9
ES,2012,EU_FOR,13.2
ES,2012,NAT,5.9
ES,2012,NEU_FOR,11.6
ES,2013,EU_FOR,13.8
ES,2013,NAT,6.9
ES,2013,NEU_FOR,12.1
ES,2014,EU_FOR,9.6
ES,2014,NAT,7.2
ES,2014,NEU_FOR,14.1
ES,2015,EU_FOR,5.8
ES,2015,NAT,4.8
ES,2015,NEU_FOR,7.4
ES,2016,EU_FOR,6.7
ES,2016,NAT,5.0
ES,2016,NEU_FOR,9.1
ES,2017,EU_FOR,5.8
ES,2017,NAT,3.8
ES,2017,NEU_FOR,7.4
ES,2018,EU_FOR,11.0
ES,2018,NAT,4.2
ES,2018,NEU_FOR,9.1
ES,2019,EU_FOR,10.5
ES,2019,NAT,4.6
ES,2019,NEU_FOR,8.1
ES,2020,EU_FOR,6.5
ES,2020,NAT,3.2
ES,2020,NEU_FOR,7.7
ES,2021,EU_FOR,4.4
ES,2021,NAT,3.9
ES,2021,NEU_FOR,7.2
ES,2022,EU_FOR,7.4
ES,2022,NAT,4.2
ES,2022,NEU_FOR,8.8
ES,2023,EU_FOR,6.2
ES,2023,NAT,4.7
ES,2023,NEU_FOR,10.2
ES,2024,EU_FOR,7.4
ES,2024,NAT,4.4
ES,2024,NEU_FOR,8.1
ES,2025,EU_FOR,5.6
ES,2025,NAT,3.8
ES,2025,NEU_FOR,6.4
FI,2008,NAT,2.0
FI,2009,EU_FOR,8.5
FI,2009,NAT,5.8
FI,2009,NEU_FOR,8.9
FI,2010,EU_FOR,5.8
FI,2010,NAT,4.8
FI,2010,NEU_FOR,6.8
FI,2011,EU_FOR,9.0
FI,2011,NAT,4.8
FI,2011,NEU_FOR,6.7
FI,2012,EU_FOR,5.7
FI,2012,NAT,4.7
FI,2012,NEU_FOR,6.9
FI,2013,EU_FOR,4.0
FI,2013,NAT,4.6
FI,2013,NEU_FOR,4.9
FI,2014,EU_FOR,5.0
FI,2014,NAT,3.6
FI,2014,NEU_FOR,7.2
FI,2015,EU_FOR,5.2
FI,2015,NAT,5.2
FI,2015,NEU_FOR,9.8
FI,2016,EU_FOR,3.4
FI,2016,NAT,5.4
FI,2016,NEU_FOR,9.5
FI,2017,EU_FOR,4.5
FI,2017,NAT,4.9
FI,2017,NEU_FOR,2.5
FI,2018,EU_FOR,0.9
FI,2018,NAT,5.7
FI,2018,NEU_FOR,5.9
FI,2019,EU_FOR,2.6
FI,2019,NAT,5.5
FI,2019,NEU_FOR,6.9
FI,2020,EU_FOR,2.8
FI,2020,NAT,5.7
FI,2020,NEU_FOR,12.0
FI,2021,EU_FOR,12.8
FI,2021,NAT,5.3
FI,2021,NEU_FOR,11.4
FI,2022,EU_FOR,17.5
FI,2022,NAT,7.3
FI,2022,NEU_FOR,10.7
FI,2023,EU_FOR,14.7
FI,2023,NAT,7.4
FI,2023,NEU_FOR,15.0
FI,2024,EU_FOR,10.9
FI,2024,NAT,7.3
FI,2024,NEU_FOR,12.5
FI,2025,EU_FOR,8.9
FI,2025,NAT,7.4
FI,2025,NEU_FOR,10.1
FR,2008,NAT,4.0
FR,2009,EU_FOR,8.4
FR,2009,NAT,4.3
FR,2009,NEU_FOR,11.1
FR,2010,EU_FOR,4.1
FR,2010,NAT,4.5
FR,2010,NEU_FOR,9.4
FR,2011,EU_FOR,5.2
FR,2011,NAT,4.4
FR,2011,NEU_FOR,10.2
FR,2012,EU_FOR,8.8
FR,2012,NAT,4.8
FR,2012,NEU_FOR,10.6
FR,2013,EU_FOR,6.9
FR,2013,NAT,5.2
FR,2013,NEU_FOR,11.4
FR,2014,EU_FOR,13.6
FR,2014,NAT,5.3
FR,2014,NEU_FOR,12.6
FR,2015,EU_FOR,9.1
FR,2015,NAT,3.3
FR,2015,NEU_FOR,5.6
FR,2016,EU_FOR,9.1
FR,2016,NAT,3.2
FR,2016,NEU_FOR,7.5
FR,2017,EU_FOR,3.1
FR,2017,NAT,2.9
FR,2017,NEU_FOR,4.4
FR,2018,EU_FOR,5.4
FR,2018,NAT,3.0
FR,2018,NEU_FOR,7.9
FR,2019,EU_FOR,3.8
FR,2019,NAT,2.6
FR,2019,NEU_FOR,6.2
FR,2020,EU_FOR,8.9
FR,2020,NAT,6.0
FR,2020,NEU_FOR,12.8
FR,2021,EU_FOR,6.3
FR,2021,NAT,5.1
FR,2021,NEU_FOR,10.3
FR,2022,EU_FOR,7.9
FR,2022,NAT,5.9
FR,2022,NEU_FOR,9.1
FR,2023,EU_FOR,9.9
FR,2023,NAT,6.2
FR,2023,NEU_FOR,10.9
FR,2024,EU_FOR,9.3
FR,2024,NAT,6.6
FR,2024,NEU_FOR,10.8
FR,2025,EU_FOR,10.5
FR,2025,NAT,6.1
FR,2025,NEU_FOR,10.6
HR,2010,NAT,3.6
HR,2010,NEU_FOR,2.3
HR,2011,NAT,2.7
HR,2011,NEU_FOR,1.8
HR,2012,NAT,1.9
HR,2012,NEU_FOR,1.4
HR,2013,NAT,2.5
HR,2013,NEU_FOR,2.8
HR,2014,NAT,2.2
