geo,year,unmet_need_pc,status,gdp_per_capita_eur,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,physicians_per_100k,hospital_beds_per_100k,oop_health_expenditure_share_pc,gini_income,long_term_unemployment_rate_pc,log_gdp_per_capita,log_oop_health_expenditure_share,gdp_per_capita_eur_lag1,unemployment_rate_pc_lag1,poverty_or_social_exclusion_pc_lag1,physicians_per_100k_lag1,gdp_per_capita_growth,unemployment_rate_change,split
ES,2017,0.1,,25160.0,17.2,27.5,5.9,6.27,384.99,295.36,24.09,34.1,7.7,10.133010710814377,3.222469360378331,24190.0,19.6,28.8,378.8,0.0400992145514675,-2.400000000000002,train
FI,2017,3.6,,40790.0,8.7,16.0,7.1,7.02,275.63,374.78,19.05,25.3,2.6,10.616192232311604,2.998229153752578,39250.0,8.9,16.5,273.47,0.0392356687898089,-0.200000000000001,train
FR,2017,1.0,,34290.0,9.4,17.8,8.3,9.43,312.11,593.33,10.64,28.8,2.9,10.442609045456964,2.454447442303292,33530.0,10.1,18.7,309.47,0.0226662690128243,-0.6999999999999993,train
HR,2017,1.6,,12430.0,11.1,23.7,6.8,5.47,349.86,576.46,10.97,29.9,4.5,9.427868184504756,2.482403519569882,11610.0,13.0,23.5,340.26,0.0706287683031869,-1.9000000000000004,train
HU,2017,1.0,,13080.0,4.0,25.9,4.7,4.64,335.49,708.25,27.25,28.1,1.6,9.47883962501119,3.34109345759245,11950.0,5.0,28.6,324.89,0.0945606694560669,-1.0,train
IE,2017,2.8,,63960.0,6.7,22.4,4.9,5.02,316.98,289.03,13.11,30.6,3.0,11.06601316694789,2.646883765864722,58060.0,8.4,23.8,307.23,0.1016190148122631,-1.7000000000000002,train
IS,2017,3.5,,65850.0,2.7,12.6,7.5,6.74,372.56,294.69,16.32,25.2,0.3,11.095134707171429,2.851861903134289,57900.0,3.0,11.8,361.91,0.1373056994818652,-0.2999999999999998,train
IT,2017,1.8,,29070.0,11.3,25.9,6.8,6.37,403.75,321.9,24.13,32.7,6.9,10.277461993552922,3.2240623515555007,28360.0,11.7,27.8,400.63,0.0250352609308885,-0.3999999999999986,train
LT,2017,1.5,,14870.0,7.1,29.8,4.6,4.28,458.25,659.55,32.64,37.6,2.7,9.6071010394542,3.5157158351047477,13490.0,7.9,30.0,455.59,0.1022979985174203,-0.8000000000000007,train
LU,2017,0.3,,97440.0,5.5,19.3,5.0,4.31,334.42,452.85,10.66,29.2,2.1,11.486992082943724,2.4561641809223462,96230.0,6.3,19.1,323.51,0.0125740413592434,-0.7999999999999998,train
LV,2017,6.2,,13400.0,8.7,28.5,3.6,3.55,324.22,563.13,41.79,34.5,3.6,9.503009985939002,3.7563044304287256,12500.0,9.7,28.2,327.87,0.072,-1.0,train
MT,2017,0.2,,26820.0,4.0,19.4,4.9,5.23,376.29,425.79,35.22,28.2,2.0,10.196903156835669,3.589611452455267,23900.0,4.7,20.2,353.57,0.1221757322175732,-0.7000000000000002,train
NL,2017,0.1,,43830.0,5.9,16.6,7.2,8.12,357.19,324.82,11.05,27.1,1.7,10.688073793412856,2.489064659936664,42290.0,7.0,16.3,348.53,0.0364152281863324,-1.0999999999999996,train
NO,2017,1.3,,69860.0,4.4,15.4,7.2,8.71,430.39,356.65,14.51,26.1,1.5,11.154248518360824,2.7414849771884477,66180.0,4.9,14.4,414.68,0.0556059232396494,-0.5,train
PL,2017,3.3,b,12360.0,5.0,18.7,4.7,4.53,237.76,662.41,22.74,29.2,1.5,9.422220731011684,3.167161389181522,11270.0,6.3,20.6,241.57,0.0967169476486246,-1.2999999999999998,train
RO,2017,4.7,,9510.0,6.1,42.5,4.4,4.08,295.29,695.35,20.49,33.1,2.4,9.160099155539436,3.067587710654419,8500.0,7.2,46.0,288.32,0.1188235294117647,-1.1000000000000003,train
SE,2017,1.4,,47210.0,6.8,17.2,7.1,9.27,419.74,217.46,14.24,28.0,1.1,10.762361013540332,2.7239235502585,46790.0,7.1,17.7,410.59,0.0089762769822611,-0.2999999999999998,train
SI,2017,3.5,,20630.0,6.6,16.6,6.6,5.96,307.94,446.63,12.32,23.7,3.1,9.934501606065297,2.589266665112243,19380.0,8.0,16.9,299.1,0.0644994840041279,-1.4000000000000004,train
AT,2018,0.1,,43360.0,5.2,16.8,8.3,7.78,520.56,725.66,19.29,26.8,1.7,10.677292636113528,3.010128153837724,41760.0,5.9,17.1,512.1,0.0383141762452107,-0.7000000000000002,train
BE,2018,1.8,,40210.0,6.0,20.5,7.6,8.32,312.18,560.85,19.37,25.7,2.6,10.60187099989132,3.0140632302387145,38980.0,7.2,22.0,306.13,0.0315546434068753,-1.2000000000000002,train
BG,2018,1.9,,8340.0,6.2,33.0,5.0,4.35,444.54,797.89,39.33,39.6,3.7,9.028818495352793,3.697095608885277,7720.0,7.2,38.0,444.26,0.0803108808290155,-1.0,train
CH,2018,0.7,,73630.0,4.7,17.8,2.1,7.35,432.32,461.13,21.84,29.7,1.7,11.206807830362765,3.128513384787809,74010.0,4.8,18.3,425.11,-0.0051344412917173,-0.0999999999999996,train
CY,2018,1.4,,24660.0,8.4,19.1,2.6,2.85,398.12,311.06,44.36,29.1,2.7,10.112937776718336,3.814630659419497,23230.0,11.1,21.4,373.51,0.061558329746018,-2.6999999999999997,train
DE,2018,0.2,,41800.0,3.2,18.5,7.0,9.47,430.5,797.26,12.18,31.1,1.4,10.640651618512848,2.578700529074361,40630.0,3.5,18.8,423.03,0.028796455820822,-0.2999999999999998,train
DK,2018,1.3,,51950.0,5.1,17.5,8.7,8.49,418.66,253.41,13.82,27.8,1.0,10.858036996527373,2.695977619867941,51060.0,5.8,17.8,408.04,0.017430473952213,-0.7000000000000002,train
EE,2018,16.4,,20040.0,5.4,23.6,5.3,4.84,347.59,452.51,24.51,30.6,1.3,9.9054855551988,3.23907053215372,18480.0,5.8,23.3,344.88,0.0844155844155844,-0.3999999999999994,train
ES,2018,0.2,,25950.0,15.3,27.3,6.0,6.28,401.04,296.39,24.15,33.2,6.4,10.163926888594034,3.224857896545748,25160.0,17.2,27.5,384.99,0.0313990461049284,-1.8999999999999984,train
FI,2018,4.7,,42040.0,7.5,16.6,7.1,7.01,277.62,356.4,18.37,25.9,2.0,10.646376824990888,2.963725477418905,40790.0,8.7,16.0,275.63,0.0306447658739887,-1.1999999999999993,train
FR,2018,1.2,,35080.0,9.0,17.9,8.2,9.34,312.9,587.48,10.45,28.5,2.5,10.46538644648612,2.4379897300002487,34290.0,9.4,17.8,312.11,0.0230387868183143,-0.4000000000000003,train
HR,2018,1.4,,13310.0,8.3,22.1,6.9,5.51,354.65,578.53,11.39,29.7,3.4,9.496270911389155,2.516889695641051,12430.0,11.1,23.7,349.86,0.0707964601769911,-2.799999999999999,train
HU,2018,0.8,,14070.0,3.6,20.6,4.6,4.56,341.0,700.46,26.79,28.7,1.4,9.551800150108434,3.3246762437544124,13080.0,4.0,25.9,335.49,0.0756880733944954,-0.3999999999999999,train
IE,2018,2.0,,68530.0,5.8,20.8,4.8,4.96,323.1,293.0,12.66,28.9,2.1,11.135026884579869,2.614471854142644,63960.0,6.7,22.4,316.98,0.0714509068167604,-0.9000000000000004,train
IS,2018,3.4,,65330.0,2.7,11.3,7.6,6.85,384.6,284.04,15.82,23.2,0.3,11.087206627834796,2.822568654544802,65850.0,2.7,12.6,372.56,-0.0078967350037965,0.0,train
IT,2018,2.4,,29690.0,10.6,25.7,6.7,6.35,401.73,317.22,23.97,33.4,6.5,10.298565567757803,3.217675104291682,29070.0,11.3,25.9,403.75,0.0213278293773649,-0.7000000000000011,train
LT,2018,2.2,,16300.0,6.2,28.5,4.7,4.35,458.04,640.96,31.52,36.9,2.0,9.698920386794851,3.4818552846796096,14870.0,7.1,29.8,458.25,0.0961667787491593,-0.8999999999999995,train
