geo,year,unmet_need_pc,log_gdp_per_capita,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,lag1_unmet_need_pc,lag1_log_gdp_per_capita,lag1_unemployment_rate_pc,lag1_poverty_or_social_exclusion_pc,lag1_government_health_expenditure_gdp_pc,lag1_compulsory_health_financing_gdp_pc,time_split
IE,2020,1.8,11.236117389070326,5.9,19.1,5.6,5.42,2.0,11.201360452055116,5.0,20.2,4.8,4.89,train
IS,2020,2.8,10.90025166856016,5.5,11.7,8.5,7.9,5.2,11.057692214627943,3.5,11.6,7.8,7.08,train
LT,2020,1.7,9.791997176502765,8.5,24.5,5.9,5.2,1.4,9.771098364490385,6.3,25.5,5.0,4.61,train
LU,2020,0.1,11.534589104606257,6.8,19.9,5.8,4.99,0.2,11.517116669588695,5.6,20.1,5.2,4.64,train
LV,2020,5.3,9.640172836532642,8.1,25.1,4.8,4.77,4.3,9.645364282325891,6.3,26.7,4.3,4.13,train
MT,2020,0.0,10.235306120475991,4.9,19.9,6.6,6.57,0.0,10.2722886762727,4.1,20.7,5.1,5.56,train
NL,2020,0.2,10.753852134294116,4.9,16.0,8.1,9.3,0.2,10.775617388624513,4.4,16.5,7.2,8.23,train
NO,2020,0.9,11.04132055435752,4.7,16.3,8.2,9.82,1.0,11.168461378419464,3.9,15.6,7.4,8.95,train
PL,2020,1.9,9.568713872550497,3.2,17.0,5.3,4.64,4.2,9.560292770154089,3.3,17.9,4.8,4.59,train
PT,2020,1.6,9.870964360830568,7.1,20.0,7.4,6.76,1.7,9.93837195438963,6.6,21.1,6.5,5.79,train
RO,2020,4.7,9.340491056441229,6.1,35.6,5.5,5.01,4.9,9.351839934249885,4.9,36.1,5.0,4.61,train
SE,2020,1.5,10.740302082908489,8.5,17.7,7.5,9.85,1.4,10.738785125200751,6.9,18.4,7.2,9.3,train
SI,2020,2.7,10.009198006958242,5.0,14.3,8.0,6.94,2.9,10.045421048424794,4.4,13.7,6.7,6.23,train
SK,2020,3.2,9.756726171140723,6.7,13.8,6.4,5.67,2.7,9.760771250334534,5.7,14.8,5.8,5.51,train
